--------------------------------------------------------------------------------------
Simulation: 2e8738c8-3226-4881-89bb-5d00938347b9
--------------------------------------------------------------------------------------
0000		1
0100		1
1000		0
1100		1
2000		8082
3000		8083
7000		1182
8888		0
9000		0
9999		0

